Founded Year | Company                                  | Headquarters                       
-------------+------------------------------------------+------------------------------------
1784         | BNY Mellon                               | New York City, New York            
1792         | State Street Corporation                 | Boston, Massachusetts              
1802         | DuPont                                   | Wilmington, Delaware               
1806         | Colgate-Palmolive                        | New York City, New York            
1810         | Hartford (The)                           | Hartford, Connecticut              
1818         | Bunge Global                             | Chesterfield, Missouri             
1823         | Consolidated Edison                      | New York City, New York            
1825         | KeyCorp                                  | Cleveland, Ohio                    
1828         | Citizens Financial Group                 | Providence, Rhode Island           
1833         | McKesson Corporation                     | Irving, Texas                      
1837         | Deere & Company                          | Moline, Illinois                   
1837         | Procter & Gamble                         | Cincinnati, Ohio                   
1839         | Berkshire Hathaway                       | Omaha, Nebraska                    
1843         | Stanley Black & Decker                   | New Britain, Connecticut           
1845         | PNC Financial Services                   | Pittsburgh, Pennsylvania           
1847         | Church & Dwight                          | Ewing, New Jersey                  
1847         | Philip Morris International              | New York City, New York            
1848         | CME Group                                | Chicago, Illinois                  
1849         | Pfizer                                   | New York City, New York            
1850         | American Express                         | New York City, New York            
1851         | Corning Inc.                             | Corning, New York                  
1852         | Wells Fargo                              | San Francisco, California          
1853         | Travelers Companies (The)                | New York City, New York            
1856         | General Mills                            | Golden Valley, Minnesota           
1856         | M&T Bank                                 | Buffalo, New York                  
1858         | Fifth Third Bancorp                      | Cincinnati, Ohio                   
1859         | Ingersoll Rand                           | Davidson, North Carolina           
1860         | Amcor                                    | Warmley, Bristol, United Kingdom   
1862         | Union Pacific Corporation                | Omaha, Nebraska                    
1866         | Huntington Bancshares                    | Columbus, Ohio; Detroit, Michigan  
1866         | Sherwin-Williams                         | Cleveland, Ohio                    
1868         | MetLife                                  | New York City, New York            
1869         | Goldman Sachs                            | New York City, New York            
1869         | Kraft Heinz                              | Chicago, Illinois; Pittsburgh, P...
1869         | Wabtec                                   | Pittsburgh, Pennsylvania           
1870         | Brown–Forman                           | Louisville, Kentucky               
1871         | Trane Technologies                       | Dublin, Ireland                    
1872         | Kimberly-Clark                           | Irving, Texas                      
1872         | Truist Financial                         | Charlotte, North Carolina          
1875         | Prudential Financial                     | Newark, New Jersey                 
1876         | Lilly (Eli)                              | Indianapolis, Indiana              
1877         | Verizon                                  | New York City, New York            
1879         | Chevron Corporation                      | Houston, Texas                     
1879         | Linde plc                                | Guildford, United Kingdom          
1879         | Principal Financial Group                | Des Moines, Iowa                   
1880         | Ball Corporation                         | Broomfield, Colorado               
1882         | CenterPoint Energy                       | Houston, Texas                     
1883         | Kroger                                   | Cincinnati, Ohio                   
1883         | PPG Industries                           | Pittsburgh, Pennsylvania           
1885         | AT&T                                     | Dallas, Texas                      
1885         | Johnson Controls                         | Cork, Ireland                      
1886         | American Water Works                     | Camden, New Jersey                 
1886         | CMS Energy                               | Jackson, Michigan                  
1886         | Coca-Cola Company (The)                  | Atlanta, Georgia                   
1886         | Edison International                     | Rosemead, California               
1886         | Johnson & Johnson                        | New Brunswick, New Jersey          
1887         | Bristol Myers Squibb                     | New York City, New York            
1887         | Marathon Petroleum                       | Findlay, Ohio                      
1888         | AbbVie                                   | North Chicago, Illinois            
1888         | Abbott Laboratories                      | North Chicago, Illinois            
1888         | EQT Corporation                          | Pittsburgh, Pennsylvania           
1888         | Howmet Aerospace                         | Pittsburgh, Pennsylvania           
1888         | Hubbell Incorporated                     | Shelton, Connecticut               
1888         | Texas Pacific Land Corporation           | Dallas, Texas                      
1889         | International Flavors & Fragrances       | New York City, New York            
1889         | McCormick & Company                      | Hunt Valley, Maryland              
1889         | Northern Trust                           | Chicago, Illinois                  
1890         | Emerson Electric                         | Ferguson, Missouri                 
1891         | Hormel Foods                             | Austin, Minnesota                  
1891         | Merck & Co.                              | Kenilworth, New Jersey             
1892         | Assurant                                 | Atlanta, Georgia                   
1892         | GE Aerospace                             | Evendale, Ohio                     
1894         | Ameriprise Financial                     | Minneapolis, Minnesota             
1894         | Hershey Company (The)                    | Hershey, Pennsylvania              
1895         | Lennox International                     | Richardson, Texas                  
1896         | WEC Energy Group                         | Milwaukee, Wisconsin               
1897         | Becton Dickinson                         | Franklin Lakes, New Jersey         
1897         | Dow Inc.                                 | Midland, Michigan                  
1897         | J.M. Smucker Company (The)               | Orrville, Ohio                     
1898         | International Paper                      | Memphis, Tennessee                 
1898         | PepsiCo                                  | Purchase, New York                 
1899         | Equifax                                  | Atlanta, Georgia                   
1899         | General Dynamics                         | Reston, Virginia                   
1900         | Globe Life                               | McKinney, Texas                    
1900         | Weyerhaeuser                             | Seattle, Washington                
1902         | 3M                                       | Saint Paul, Minnesota              
1902         | Ameren                                   | St. Louis, Missouri                
1902         | Archer Daniels Midland                   | Chicago, Illinois                  
1902         | Target Corporation                       | Minneapolis, Minnesota             
1902         | Thermo Fisher Scientific                 | Waltham, Massachusetts             
1903         | Ford Motor Company                       | Dearborn, Michigan                 
1903         | Public Service Enterprise Group          | Newark, New Jersey                 
1903         | Rockwell Automation                      | Milwaukee, Wisconsin               
1904         | Duke Energy                              | Charlotte, North Carolina          
1904         | Lowe's                                   | Mooresville, North Carolina        
1905         | C.H. Robinson                            | Eden Prairie, Minnesota            
1905         | Marsh McLennan                           | New York City, New York            
1905         | PG&E Corporation                         | Oakland, California                
1905         | Paccar                                   | Bellevue, Washington               
1906         | American Electric Power                  | Columbus, Ohio                     
1906         | Atmos Energy                             | Dallas, Texas                      
1906         | CBRE Group                               | Dallas, Texas                      
1906         | Honeywell Technologies                   | Charlotte, North Carolina          
1906         | Oneok                                    | Tulsa, Oklahoma                    
1907         | United Parcel Service                    | Sandy Springs, Georgia             
1908         | Allegion                                 | Dublin, Ireland                    
1908         | General Motors                           | Detroit, Michigan                  
1908         | Williams Companies                       | Tulsa, Oklahoma                    
1909         | Evergy                                   | Kansas City, Missouri              
1909         | Moody's Corporation                      | New York City, New York            
